gpu-01
Device:  cuda
Seed: 0, Batch-Size: 100, Invalid-action-masking: 1
epi: 14900, al: -2.67e-02, cl: 1.20e-01, trSpan: -9.1644, trEntropy: 0.58, teSpan: -9.2893, tr_step: 1490100, time: 3.18
epi: 15000, al: -5.71e-02, cl: 1.46e-01, trSpan: -9.1647, trEntropy: 0.61, teSpan: -9.2794, tr_step: 1500100, time: 3.22
epi: 15100, al: 3.38e-02, cl: 1.24e-01, trSpan: -9.2593, trEntropy: 0.60, teSpan: -9.2555, tr_step: 1510100, time: 3.17
epi: 15200, al: -4.36e-02, cl: 1.21e-01, trSpan: -9.4282, trEntropy: 0.59, teSpan: -9.2815, tr_step: 1520100, time: 3.20
epi: 15300, al: 5.05e-02, cl: 1.31e-01, trSpan: -9.2490, trEntropy: 0.61, teSpan: -9.2996, tr_step: 1530100, time: 3.22
epi: 15400, al: 3.59e-02, cl: 1.07e-01, trSpan: -9.2758, trEntropy: 0.60, teSpan: -9.2510, tr_step: 1540100, time: 3.16
epi: 15500, al: 2.89e-02, cl: 1.21e-01, trSpan: -9.2042, trEntropy: 0.63, teSpan: -9.2367, tr_step: 1550100, time: 3.22
epi: 15600, al: -6.64e-02, cl: 9.74e-02, trSpan: -9.2640, trEntropy: 0.62, teSpan: -9.2720, tr_step: 1560100, time: 3.19
epi: 15700, al: 5.58e-03, cl: 1.29e-01, trSpan: -9.3603, trEntropy: 0.63, teSpan: -9.2350, tr_step: 1570100, time: 3.20
epi: 15800, al: 1.01e-01, cl: 1.24e-01, trSpan: -9.0830, trEntropy: 0.64, teSpan: -9.2915, tr_step: 1580100, time: 3.15
epi: 15900, al: 3.42e-02, cl: 1.30e-01, trSpan: -9.1343, trEntropy: 0.66, teSpan: -9.2019, tr_step: 1590100, time: 3.21
epi: 16000, al: 2.53e-02, cl: 9.25e-02, trSpan: -9.1218, trEntropy: 0.66, teSpan: -9.2210, tr_step: 1600100, time: 3.17
epi: 16100, al: -2.76e-02, cl: 9.95e-02, trSpan: -9.2128, trEntropy: 0.66, teSpan: -9.2119, tr_step: 1610100, time: 3.14
epi: 16200, al: -4.93e-03, cl: 1.49e-01, trSpan: -9.2428, trEntropy: 0.71, teSpan: -9.1817, tr_step: 1620100, time: 3.22
epi: 16300, al: -4.22e-02, cl: 1.04e-01, trSpan: -9.2469, trEntropy: 0.73, teSpan: -9.2132, tr_step: 1630100, time: 3.24
epi: 16400, al: 3.14e-02, cl: 8.65e-02, trSpan: -9.1181, trEntropy: 0.71, teSpan: -9.2033, tr_step: 1640100, time: 3.20
epi: 16500, al: -7.86e-02, cl: 1.19e-01, trSpan: -9.2196, trEntropy: 0.73, teSpan: -9.1968, tr_step: 1650100, time: 3.21
epi: 16600, al: 3.80e-02, cl: 9.50e-02, trSpan: -9.1157, trEntropy: 0.77, teSpan: -9.1640, tr_step: 1660100, time: 3.23
epi: 16700, al: 4.53e-03, cl: 8.24e-02, trSpan: -9.1336, trEntropy: 0.75, teSpan: -9.1612, tr_step: 1670100, time: 3.21
epi: 16800, al: -7.31e-02, cl: 1.13e-01, trSpan: -9.1544, trEntropy: 0.78, teSpan: -9.1435, tr_step: 1680100, time: 3.21
epi: 16900, al: -3.56e-02, cl: 9.81e-02, trSpan: -9.0891, trEntropy: 0.76, teSpan: -9.1764, tr_step: 1690100, time: 3.20
epi: 17000, al: 1.14e-01, cl: 1.26e-01, trSpan: -9.0919, trEntropy: 0.75, teSpan: -9.1639, tr_step: 1700100, time: 3.22
epi: 17100, al: -8.95e-02, cl: 1.43e-01, trSpan: -9.2341, trEntropy: 0.72, teSpan: -9.1677, tr_step: 1710100, time: 3.19
epi: 17200, al: 6.38e-02, cl: 1.06e-01, trSpan: -9.1028, trEntropy: 0.73, teSpan: -9.1619, tr_step: 1720100, time: 3.20
epi: 17300, al: 3.88e-02, cl: 1.05e-01, trSpan: -9.2113, trEntropy: 0.76, teSpan: -9.1659, tr_step: 1730100, time: 3.20
epi: 17400, al: -1.07e-01, cl: 1.33e-01, trSpan: -9.2005, trEntropy: 0.85, teSpan: -9.1794, tr_step: 1740100, time: 3.25
epi: 17500, al: 4.16e-03, cl: 9.79e-02, trSpan: -9.1052, trEntropy: 0.81, teSpan: -9.1210, tr_step: 1750100, time: 3.16
epi: 17600, al: 8.91e-02, cl: 1.32e-01, trSpan: -9.0657, trEntropy: 0.77, teSpan: -9.1343, tr_step: 1760100, time: 3.20
epi: 17700, al: 1.45e-02, cl: 8.24e-02, trSpan: -9.0743, trEntropy: 0.76, teSpan: -9.1409, tr_step: 1770100, time: 3.23
